dates,AD,CD,SF,EC,BP,JY,ND,SP,ER,FT,DA,CF,IB,EO,SW,II,PT,NK,XP,HI,TU,FV,TY,US,BZ,BL,BN,BX,GL,CB,JB,CL,CO,HO,NG,XB,HG,GC,PA,JA,SV,FC,LC,LH,CN,OA,BO,SM,SY,WC,CC,KC,CT,LB,JO,SB
03-Jan-83,,0.6535,0.9004,1.032756,0.9655,0.9736,416.032837,282.75,,2365.168048,1976.579674,,,143.615559,,,283.272213,19082.15548,,1854.641052,,,34.115595,28.835091,,,,,,,,,,,,,,,,,,93.483,57.842,204.588,2363.31,2439.78,58.87,76.1,787.58,4074.19,,,,3731.7,,
04-Jan-83,,0.6497,0.9055,1.037619,0.963,0.9814,418.764488,289.97,,2364.387543,1969.762591,,,142.840277,,,281.38785,19087.11723,,1843.49624,,,33.977476,28.626309,,,,,,,,,,,,,,,,,,92.861,58.311,205.835,2351.2,2417.84,58.65,76.1,785.86,4083.61,,,,3821.2,,
05-Jan-83,,0.6511,0.9181,1.0439,0.9612,0.9794,417.791308,290.79,,2363.607295,1976.71919,,,147.823396,,,284.989238,19187.3022,,1863.123477,,,33.977476,28.49872,,,,,,,,,,,,,,,,,,93.725,58.953,207.261,2363.31,2454.41,58.87,76.1,788.27,4133.87,,,,3849.7,,
06-Jan-83,,0.6503,0.9128,1.040253,0.9506,0.9742,424.440005,299.24,,2463.966919,1966.033659,,,149.419205,,,293.559637,19310.27889,,1868.630576,,,33.939807,28.452324,,,,,,,,,,,,,,,,,,94.555,59.892,208.33,2375.42,2465.39,59.55,76.1,789.65,4155.86,,,,3882.3,,
07-Jan-83,,0.6516,0.9266,1.046534,0.946,0.9798,428.145623,299.54,,2463.15381,1961.232143,,,151.393347,,,297.438611,19419.90357,,1931.777167,,,33.952363,28.417527,,,,,,,,,,,,,,,,,,94.486,59.719,209.043,2402.05,2472.7,59.55,77.1,798.59,4168.42,,,,3923,,
10-Jan-83,,0.6528,0.9312,1.04775,0.9363,0.9874,434.460067,302.8,,2462.340969,1962.59025,,,153.302967,,,302.450598,19421.50611,,2043.076647,,,33.977476,28.38273,,,,,,,,,,,,,,,,,,95.522,60.361,207.617,2423.84,2501.97,60.08,78.2,809.6,4202.98,,,,3965.7,,
11-Jan-83,,0.6543,0.9211,1.036808,0.9315,0.9707,430.437264,301.07,,2461.528397,1962.927337,,,153.726315,,,299.058655,19194.02056,,2056.737691,,,34.165821,28.475522,,,,,,,,,,,,,,,,,,94.797,60.608,207.617,2426.27,2480.02,59.62,78.1,806.84,4215.54,,,,3931.1,,
12-Jan-83,,0.6545,0.9227,1.035187,0.9311,0.9733,436.927926,301.17,,2460.716093,1943.681123,,,152.60168,,,297.257706,19093.18491,,2077.349398,,,34.190934,28.568314,,,,,,,,,,,,,,,,,,94.555,60.361,206.726,2479.54,2527.57,59.51,79.8,819.23,4287.79,,,,3906.7,,
13-Jan-83,,0.6559,0.9305,1.042279,0.9335,0.9787,437.834482,301.47,,2423.134735,1909.299515,,,153.593295,,,294.663792,19227.49717,,2101.860996,,,34.241159,28.579913,,,,,,,,,,,,,,,,,,95.384,60.04,209.399,2465.01,2501.97,59.76,79.8,818.19,4344.33,,,,3921,,
14-Jan-83,,0.6542,0.9237,1.036808,0.934,0.9704,443.593953,301.27,,2422.335101,1915.239547,,,151.238394,,,295.814047,19196.15345,,2091.555507,,,34.303941,28.510319,,,,,,,,,,,,,,,,,,96.766,60.163,212.607,2474.69,2516.6,60.83,79.8,822.66,4353.76,,,,3967.8,,
17-Jan-83,,0.6534,0.9199,1.030729,0.938,0.9718,445.76493,302.29,,2421.53573,1913.764574,,,151.661795,,,296.73677,19176.05383,,2110.541376,,,34.291384,28.510319,,,,,,,,,,,,,,,,,,96.352,60.262,209.934,2489.22,2501.97,61.76,79.1,819.91,4300.36,,,,4004.4,,
